id,price_max,mean_true
124344,Work In Progess,100
124343,Work In Progess,100
1,Work In Progess,204.35
10,Work In Progess,203.37
100,Work In Progess,199.74
94283,Work In Progess,203.18
93298,Work In Progess,203.1
5,Work In Progess,200.9
50,Work In Progess,200.62
500,Work In Progess,200.08
92317,Work In Progess,200.7
121,Work In Progess,200.35
874,Work In Progess,204.03
254,Work In Progess,199
441,Work In Progess,199.56
710,Work In Progess,197.62
628,Work In Progess,198.58
94294,Work In Progess,201.24
92324,Work In Progess,200.19
9725,Work In Progess,204.35
382,Work In Progess,202.71
569,Work In Progess,202.39
101,Work In Progess,201.24
943,Work In Progess,202.47
93641,Work In Progess,199.26
323,Work In Progess,203.21
94301,Work In Progess,202.69
510,Work In Progess,199.88
93645,Work In Progess,198.37
884,Work In Progess,199.36
264,Work In Progess,198.49
533,Work In Progess,199.57
451,Work In Progess,201.04
720,Work In Progess,202.64
638,Work In Progess,198.19
825,Work In Progess,202.46
205,Work In Progess,202.83
92341,Work In Progess,199.29
392,Work In Progess,197.41
766,Work In Progess,198.35
146,Work In Progess,200.92
93329,Work In Progess,201.58
93327,Work In Progess,197.45
333,Work In Progess,200.29
52,Work In Progess,200.56
707,Work In Progess,198.58
93661,Work In Progess,197.58
894,Work In Progess,202.61
274,Work In Progess,199.56
92352,Work In Progess,198.8
461,Work In Progess,202.74
648,Work In Progess,198.29
297,Work In Progess,203.56
835,Work In Progess,198.74
215,Work In Progess,200.87
589,Work In Progess,201.09
93342,Work In Progess,201.46
103,Work In Progess,197.52
156,Work In Progess,200.09
425,Work In Progess,200.37
93674,Work In Progess,202.09
53,Work In Progess,203.57
530,Work In Progess,202.19
717,Work In Progess,201.33
124,Work In Progess,199.77
366,Work In Progess,200.24
284,Work In Progess,199.9
471,Work In Progess,203.3
740,Work In Progess,197.63
658,Work In Progess,197.49
927,Work In Progess,201.76
92372,Work In Progess,200.8
412,Work In Progess,199.36
599,Work In Progess,198.32
973,Work In Progess,200.52
104,Work In Progess,199.62
166,Work In Progess,199.37
435,Work In Progess,203.82
353,Work In Progess,203.25
54,Work In Progess,199.08
540,Work In Progess,202.97
727,Work In Progess,203.38
93694,Work In Progess,198.46
294,Work In Progess,203.54
914,Work In Progess,197.62
481,Work In Progess,200.19
750,Work In Progess,198.47
855,Work In Progess,199.51
235,Work In Progess,202.9
504,Work In Progess,199.75
422,Work In Progess,196.85
93701,Work In Progess,199.2
796,Work In Progess,200.13
176,Work In Progess,198.85
445,Work In Progess,201.14
93705,Work In Progess,201.76
363,Work In Progess,203.81
55,Work In Progess,197.75
737,Work In Progess,201.87
93709,Work In Progess,196.96
386,Work In Progess,203.03
924,Work In Progess,198.9
678,Work In Progess,203.81
491,Work In Progess,197.21
760,Work In Progess,200.53
865,Work In Progess,202.02
245,Work In Progess,201.51
514,Work In Progess,197.61
432,Work In Progess,199.74
619,Work In Progess,203.17
106,Work In Progess,202.96
186,Work In Progess,198.61
92409,Work In Progess,202.03
806,Work In Progess,202.91
56,Work In Progess,197.17
560,Work In Progess,204.01
747,Work In Progess,198.94
93069,Work In Progess,198.23
127,Work In Progess,203.7
934,Work In Progess,196.94
501,Work In Progess,204.03
150,Work In Progess,204.18
770,Work In Progess,200.54
875,Work In Progess,199.74
255,Work In Progess,199.98
442,Work In Progess,198.32
711,Work In Progess,197.65
629,Work In Progess,198.82
107,Work In Progess,202.67
196,Work In Progess,202.16
816,Work In Progess,202.73
383,Work In Progess,200.85
57,Work In Progess,199.24
570,Work In Progess,203.3
944,Work In Progess,198.77
93084,Work In Progess,200.71
324,Work In Progess,198.59
78,Work In Progess,199.03
511,Work In Progess,201.71
160,Work In Progess,197.59
885,Work In Progess,200.21
265,Work In Progess,198.4
534,Work In Progess,202.19
452,Work In Progess,201.58
721,Work In Progess,198.64
639,Work In Progess,203.51
826,Work In Progess,198.49
206,Work In Progess,198.82
744,Work In Progess,204.21
393,Work In Progess,197.16
767,Work In Progess,200.29
147,Work In Progess,202.66
92445,Work In Progess,204.31
92446,Work In Progess,201.68
334,Work In Progess,201.11
603,Work In Progess,197.44
708,Work In Progess,200.83
170,Work In Progess,200.14
895,Work In Progess,204.03
275,Work In Progess,203.03
91797,Work In Progess,201.58
462,Work In Progess,199.38
109,Work In Progess,202.2
649,Work In Progess,199.25
836,Work In Progess,200.48
216,Work In Progess,203.48
59,Work In Progess,202.81
590,Work In Progess,202.29
777,Work In Progess,201.79
157,Work In Progess,197.13
92461,Work In Progess,198
91806,Work In Progess,202.64
344,Work In Progess,200.49
531,Work In Progess,200.68
718,Work In Progess,198.76
800,Work In Progess,203.65
91810,Work In Progess,200.8
285,Work In Progess,204.01
472,Work In Progess,197.54
741,Work In Progess,202.34
11,Work In Progess,203.18
110,Work In Progess,201.64
92472,Work In Progess,201.23
413,Work In Progess,202.16
6,Work In Progess,199.81
974,Work In Progess,197.13
600,Work In Progess,197.53
167,Work In Progess,199.81
91821,Work In Progess,198.94
354,Work In Progess,201.09
623,Work In Progess,199.14
541,Work In Progess,203.66
728,Work In Progess,197.52
91826,Work In Progess,197.33
295,Work In Progess,199.8
915,Work In Progess,200.27
482,Work In Progess,202.09
751,Work In Progess,203.71
