id,price_min,mean_true
124344,Work In Progess,100
124343,Work In Progess,100
1,Work In Progess,59.34
10,Work In Progess,61.34
100,Work In Progess,60.1
94283,Work In Progess,59.81
93298,Work In Progess,62.36
5,Work In Progess,59.4
50,Work In Progess,62.04
500,Work In Progess,60.88
92317,Work In Progess,60.48
121,Work In Progess,60.26
874,Work In Progess,60.88
254,Work In Progess,60.13
441,Work In Progess,63.08
710,Work In Progess,63.44
628,Work In Progess,60.62
94294,Work In Progess,62.55
92324,Work In Progess,62.61
9725,Work In Progess,59.34
382,Work In Progess,60.28
569,Work In Progess,61.77
101,Work In Progess,60.39
943,Work In Progess,60.7
93641,Work In Progess,61.32
323,Work In Progess,63.13
94301,Work In Progess,59.6
510,Work In Progess,59.47
93645,Work In Progess,61.22
884,Work In Progess,62.46
264,Work In Progess,61.46
533,Work In Progess,60.4
451,Work In Progess,60.77
720,Work In Progess,59.47
638,Work In Progess,60.16
825,Work In Progess,63.36
205,Work In Progess,63.08
92341,Work In Progess,60.72
392,Work In Progess,61.91
766,Work In Progess,60.27
146,Work In Progess,62.74
93329,Work In Progess,60.83
93327,Work In Progess,63.06
333,Work In Progess,59.47
52,Work In Progess,61.76
707,Work In Progess,61.74
93661,Work In Progess,61.83
894,Work In Progess,61.26
274,Work In Progess,60.19
92352,Work In Progess,60.48
461,Work In Progess,59.5
648,Work In Progess,59.36
297,Work In Progess,63.02
835,Work In Progess,60.47
215,Work In Progess,63.19
589,Work In Progess,60.65
93342,Work In Progess,60.57
103,Work In Progess,63.52
156,Work In Progess,62.31
425,Work In Progess,62.64
93674,Work In Progess,59.74
53,Work In Progess,60.32
530,Work In Progess,60.74
717,Work In Progess,62.25
124,Work In Progess,60.07
366,Work In Progess,62.93
284,Work In Progess,60.1
471,Work In Progess,61.04
740,Work In Progess,59.34
658,Work In Progess,59.94
927,Work In Progess,61.82
92372,Work In Progess,60.79
412,Work In Progess,62.92
599,Work In Progess,62.24
973,Work In Progess,62.74
104,Work In Progess,62.5
166,Work In Progess,60.07
435,Work In Progess,62.73
353,Work In Progess,61.93
54,Work In Progess,60.1
540,Work In Progess,60.46
727,Work In Progess,59.72
93694,Work In Progess,61.82
294,Work In Progess,60.27
914,Work In Progess,60.92
481,Work In Progess,62.84
750,Work In Progess,62.47
855,Work In Progess,62
235,Work In Progess,61.36
504,Work In Progess,63.41
422,Work In Progess,61.6
93701,Work In Progess,62.94
796,Work In Progess,60.34
176,Work In Progess,59.83
445,Work In Progess,59.73
93705,Work In Progess,61.82
363,Work In Progess,60.94
55,Work In Progess,62.24
737,Work In Progess,61.2
93709,Work In Progess,62.37
386,Work In Progess,59.5
924,Work In Progess,61.21
678,Work In Progess,61.12
491,Work In Progess,63.52
760,Work In Progess,61.06
865,Work In Progess,59.52
245,Work In Progess,62.07
514,Work In Progess,60.12
432,Work In Progess,60.7
619,Work In Progess,62.73
106,Work In Progess,62.05
186,Work In Progess,60.48
92409,Work In Progess,59.51
806,Work In Progess,62.18
56,Work In Progess,60.26
560,Work In Progess,62.47
747,Work In Progess,62.8
93069,Work In Progess,59.51
127,Work In Progess,60.37
934,Work In Progess,60.08
501,Work In Progess,59.89
150,Work In Progess,62.85
770,Work In Progess,59.82
875,Work In Progess,61.42
255,Work In Progess,62.13
442,Work In Progess,62.89
711,Work In Progess,59.71
629,Work In Progess,62.63
107,Work In Progess,60.87
196,Work In Progess,59.6
816,Work In Progess,62.06
383,Work In Progess,59.92
57,Work In Progess,61.09
570,Work In Progess,61.03
944,Work In Progess,61.81
93084,Work In Progess,60.04
324,Work In Progess,63.18
78,Work In Progess,62.35
511,Work In Progess,62.62
160,Work In Progess,62.96
885,Work In Progess,60.5
265,Work In Progess,62.76
534,Work In Progess,60.99
452,Work In Progess,60.83
721,Work In Progess,63.04
639,Work In Progess,63
826,Work In Progess,61.96
206,Work In Progess,62.73
744,Work In Progess,60.16
393,Work In Progess,61.22
767,Work In Progess,63.1
147,Work In Progess,61.67
92445,Work In Progess,62.71
92446,Work In Progess,61.83
334,Work In Progess,59.69
603,Work In Progess,62.8
708,Work In Progess,59.38
170,Work In Progess,60.59
895,Work In Progess,62.64
275,Work In Progess,63.49
91797,Work In Progess,59.63
462,Work In Progess,62.5
109,Work In Progess,61.36
649,Work In Progess,61.18
836,Work In Progess,60.08
216,Work In Progess,63.43
59,Work In Progess,61.03
590,Work In Progess,61.44
777,Work In Progess,62.85
157,Work In Progess,60.23
92461,Work In Progess,62.65
91806,Work In Progess,59.47
344,Work In Progess,61.17
531,Work In Progess,60.41
718,Work In Progess,62.31
800,Work In Progess,62.78
91810,Work In Progess,61.88
285,Work In Progess,61.69
472,Work In Progess,59.87
741,Work In Progess,62.18
11,Work In Progess,59.81
110,Work In Progess,62.56
92472,Work In Progess,59.94
413,Work In Progess,63.31
6,Work In Progess,62.22
974,Work In Progess,60.45
600,Work In Progess,63.43
167,Work In Progess,62.72
91821,Work In Progess,62.8
354,Work In Progess,62.38
623,Work In Progess,62.08
541,Work In Progess,59.84
728,Work In Progess,60.74
91826,Work In Progess,63.28
295,Work In Progess,62.31
915,Work In Progess,62.92
482,Work In Progess,62.44
751,Work In Progess,60.67
